mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.24191848436991373,0.031713936299167404,0.0278017520904541,0.0010283192779985103,2,100,"{'clf__max_depth': 2, 'clf__n_estimators': 100}",0.7773109243697479,0.7805907172995781,0.7974683544303798,0.7851233320332351,0.008831343571059498,12
0.35762421290079754,0.04429950308730388,0.03202462196350098,0.004058812611790683,2,200,"{'clf__max_depth': 2, 'clf__n_estimators': 200}",0.7773109243697479,0.7848101265822784,0.8059071729957806,0.7893427413159357,0.012106329091658197,10
0.46428457895914715,0.02371016435570353,0.03550418217976888,0.005101164847989582,2,300,"{'clf__max_depth': 2, 'clf__n_estimators': 300}",0.7773109243697479,0.7805907172995781,0.8059071729957806,0.7879362715550355,0.012777695002369596,11
0.20519113540649414,0.030902083805423468,0.03816040356953939,0.005146528293666245,3,100,"{'clf__max_depth': 3, 'clf__n_estimators': 100}",0.8067226890756303,0.8185654008438819,0.810126582278481,0.8118048907326644,0.0049782858466885065,9
0.32722727457682294,0.03141542857067717,0.03303400675455729,0.0025196223610880206,3,200,"{'clf__max_depth': 3, 'clf__n_estimators': 200}",0.8235294117647058,0.8185654008438819,0.8270042194092827,0.8230330106726235,0.003462968401829463,5
0.50789475440979,0.06244873412336225,0.039620002110799156,0.014710608956432841,3,300,"{'clf__max_depth': 3, 'clf__n_estimators': 300}",0.819327731092437,0.8185654008438819,0.8227848101265823,0.8202259806876336,0.001835936259820968,8
0.20717096328735352,0.030776947493544208,0.03377485275268555,0.009025278714985518,4,100,"{'clf__max_depth': 4, 'clf__n_estimators': 100}",0.819327731092437,0.8312236286919831,0.8185654008438819,0.823038920209434,0.005795824736261964,4
0.37328163782755536,0.0593033110157336,0.02651556332906087,0.004025397421936234,4,200,"{'clf__max_depth': 4, 'clf__n_estimators': 200}",0.8151260504201681,0.8312236286919831,0.8143459915611815,0.8202318902244442,0.007778854194115017,6
0.47617165247599286,0.03317291570696871,0.01985017458597819,0.002269338033493051,4,300,"{'clf__max_depth': 4, 'clf__n_estimators': 300}",0.8151260504201681,0.8312236286919831,0.8143459915611815,0.8202318902244442,0.007778854194115017,6
0.24454553922017416,0.050199983674415784,0.029059648513793945,0.004702152954982909,5,100,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",0.8361344537815126,0.8312236286919831,0.8185654008438819,0.8286411611057926,0.00740134039241595,3
0.32389052708943683,0.02920346706684653,0.019721587498982746,0.001660943681083625,5,200,"{'clf__max_depth': 5, 'clf__n_estimators': 200}",0.8277310924369747,0.8312236286919831,0.8270042194092827,0.8286529801794136,0.0018417856246911856,2
0.33194637298583984,0.04564017909782717,0.017554601033528645,0.0002526311835026678,5,300,"{'clf__max_depth': 5, 'clf__n_estimators': 300}",0.8235294117647058,0.8354430379746836,0.8270042194092827,0.828658889716224,0.005002470905214207,1
