mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.24094374974568686,0.06772227717466912,0.030488093694051106,0.0028671415542674155,2,100,"{'clf__max_depth': 2, 'clf__n_estimators': 100}",0.7773109243697479,0.7805907172995781,0.7974683544303798,0.7851233320332351,0.008831343571059498,12
0.447459618250529,0.05066269163194415,0.038143316904703774,0.0036767282979432306,2,200,"{'clf__max_depth': 2, 'clf__n_estimators': 200}",0.7773109243697479,0.7848101265822784,0.8059071729957806,0.7893427413159357,0.012106329091658197,10
0.6477029323577881,0.08332225376541949,0.048922061920166016,0.003223239917914578,2,300,"{'clf__max_depth': 2, 'clf__n_estimators': 300}",0.7773109243697479,0.7805907172995781,0.8059071729957806,0.7879362715550355,0.012777695002369596,11
0.2032787005106608,0.01010609594291496,0.029632568359375,0.002731891362713802,3,100,"{'clf__max_depth': 3, 'clf__n_estimators': 100}",0.8067226890756303,0.8185654008438819,0.810126582278481,0.8118048907326644,0.0049782858466885065,9
0.5541656812032064,0.05224852111349083,0.04162788391113281,0.012932930862796309,3,200,"{'clf__max_depth': 3, 'clf__n_estimators': 200}",0.8235294117647058,0.8185654008438819,0.8270042194092827,0.8230330106726235,0.003462968401829463,5
0.45185192426045734,0.010929374160946992,0.037709554036458336,0.001516036065880237,3,300,"{'clf__max_depth': 3, 'clf__n_estimators': 300}",0.819327731092437,0.8185654008438819,0.8227848101265823,0.8202259806876336,0.001835936259820968,8
0.19184660911560059,0.008880776139428108,0.028777201970418293,0.0008734114067986699,4,100,"{'clf__max_depth': 4, 'clf__n_estimators': 100}",0.819327731092437,0.8312236286919831,0.8185654008438819,0.823038920209434,0.005795824736261964,4
0.38237738609313965,0.05721273577047423,0.032636801401774086,0.00042967210145770707,4,200,"{'clf__max_depth': 4, 'clf__n_estimators': 200}",0.8151260504201681,0.8312236286919831,0.8143459915611815,0.8202318902244442,0.007778854194115017,6
0.5095949172973633,0.06233766554442606,0.02807307243347168,0.00810333242413344,4,300,"{'clf__max_depth': 4, 'clf__n_estimators': 300}",0.8151260504201681,0.8312236286919831,0.8143459915611815,0.8202318902244442,0.007778854194115017,6
0.19011123975118002,0.01449660249887764,0.029268582661946613,0.0034063573947271126,5,100,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",0.8361344537815126,0.8312236286919831,0.8185654008438819,0.8286411611057926,0.00740134039241595,3
0.311293363571167,0.014722354102551393,0.021237929662068684,0.006003314173722187,5,200,"{'clf__max_depth': 5, 'clf__n_estimators': 200}",0.8277310924369747,0.8312236286919831,0.8270042194092827,0.8286529801794136,0.0018417856246911856,2
0.35755117734273273,0.018138757789823323,0.017357587814331055,0.0005521460303502627,5,300,"{'clf__max_depth': 5, 'clf__n_estimators': 300}",0.8235294117647058,0.8354430379746836,0.8270042194092827,0.828658889716224,0.005002470905214207,1
