mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.25856796900431317,0.03688610520432941,0.05310948689778646,0.024522681414465734,2,100,"{'clf__max_depth': 2, 'clf__n_estimators': 100}",0.7773109243697479,0.7805907172995781,0.7974683544303798,0.7851233320332351,0.008831343571059498,12
0.42354393005371094,0.03409842325187321,0.04031221071879069,0.00306369457001644,2,200,"{'clf__max_depth': 2, 'clf__n_estimators': 200}",0.7773109243697479,0.7848101265822784,0.8059071729957806,0.7893427413159357,0.012106329091658197,10
0.5352778434753418,0.004521277854591717,0.030999024709065754,0.0023175988142438765,2,300,"{'clf__max_depth': 2, 'clf__n_estimators': 300}",0.7773109243697479,0.7805907172995781,0.8059071729957806,0.7879362715550355,0.012777695002369596,11
0.23783310254414877,0.003870829157170477,0.033795674641927086,0.00021473669634952759,3,100,"{'clf__max_depth': 3, 'clf__n_estimators': 100}",0.8067226890756303,0.8185654008438819,0.810126582278481,0.8118048907326644,0.0049782858466885065,9
0.44593024253845215,0.0383140456620328,0.032148122787475586,0.003933309702437908,3,200,"{'clf__max_depth': 3, 'clf__n_estimators': 200}",0.8235294117647058,0.8185654008438819,0.8270042194092827,0.8230330106726235,0.003462968401829463,5
0.5550415515899658,0.07077934689236089,0.03144669532775879,0.0019863708334672617,3,300,"{'clf__max_depth': 3, 'clf__n_estimators': 300}",0.819327731092437,0.8185654008438819,0.8227848101265823,0.8202259806876336,0.001835936259820968,8
0.21739419301350912,0.002991358563699831,0.0222622553507487,0.00012844564771779678,4,100,"{'clf__max_depth': 4, 'clf__n_estimators': 100}",0.819327731092437,0.8312236286919831,0.8185654008438819,0.823038920209434,0.005795824736261964,4
0.3134907086690267,0.02856208843647138,0.026885588963826496,0.0033519918036818844,4,200,"{'clf__max_depth': 4, 'clf__n_estimators': 200}",0.8151260504201681,0.8312236286919831,0.8143459915611815,0.8202318902244442,0.007778854194115017,6
0.3963468074798584,0.024030356573556337,0.018191178639729817,0.00040247020954704745,4,300,"{'clf__max_depth': 4, 'clf__n_estimators': 300}",0.8151260504201681,0.8312236286919831,0.8143459915611815,0.8202318902244442,0.007778854194115017,6
0.17669288317362467,0.008981599909176208,0.025823275248209637,0.0017820044215594384,5,100,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",0.8361344537815126,0.8312236286919831,0.8185654008438819,0.8286411611057926,0.00740134039241595,3
0.2578752835591634,0.006230104053148474,0.018770615259806316,0.0010142845013908523,5,200,"{'clf__max_depth': 5, 'clf__n_estimators': 200}",0.8277310924369747,0.8312236286919831,0.8270042194092827,0.8286529801794136,0.0018417856246911856,2
0.297104279200236,0.03730974344080243,0.01802682876586914,0.00045193460159256816,5,300,"{'clf__max_depth': 5, 'clf__n_estimators': 300}",0.8235294117647058,0.8354430379746836,0.8270042194092827,0.828658889716224,0.005002470905214207,1
