mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.2247303326924642,0.07252439543956345,0.0271298885345459,0.0041018478214427286,2,100,"{'clf__max_depth': 2, 'clf__n_estimators': 100}",0.7773109243697479,0.7805907172995781,0.7974683544303798,0.7851233320332351,0.008831343571059498,20
0.3034619490305583,0.012433906661496644,0.03306333223978678,0.006502832516456699,2,200,"{'clf__max_depth': 2, 'clf__n_estimators': 200}",0.7773109243697479,0.7848101265822784,0.8059071729957806,0.7893427413159357,0.012106329091658197,16
0.47539424896240234,0.057503806771325244,0.03841098149617513,0.007385369710899888,2,300,"{'clf__max_depth': 2, 'clf__n_estimators': 300}",0.7773109243697479,0.7805907172995781,0.8059071729957806,0.7879362715550355,0.012777695002369596,19
0.6437032222747803,0.14628185687028725,0.043447415033976235,0.013595877249436679,2,400,"{'clf__max_depth': 2, 'clf__n_estimators': 400}",0.7773109243697479,0.7848101265822784,0.8059071729957806,0.7893427413159357,0.012106329091658197,16
0.6939516067504883,0.10557587814966572,0.048248847325642906,0.018812320717591955,2,500,"{'clf__max_depth': 2, 'clf__n_estimators': 500}",0.7773109243697479,0.7848101265822784,0.8059071729957806,0.7893427413159357,0.012106329091658197,16
0.179217259089152,0.016789048033089303,0.030822594960530598,0.007014541948101487,3,100,"{'clf__max_depth': 3, 'clf__n_estimators': 100}",0.8067226890756303,0.8185654008438819,0.810126582278481,0.8118048907326644,0.0049782858466885065,15
0.2892635663350423,0.01145493666128851,0.03846168518066406,0.014493073723901856,3,200,"{'clf__max_depth': 3, 'clf__n_estimators': 200}",0.8235294117647058,0.8185654008438819,0.8270042194092827,0.8230330106726235,0.003462968401829463,8
0.4922339916229248,0.06361014654964998,0.03568291664123535,0.003567627844166333,3,300,"{'clf__max_depth': 3, 'clf__n_estimators': 300}",0.819327731092437,0.8185654008438819,0.8227848101265823,0.8202259806876336,0.001835936259820968,12
0.630720297495524,0.08395765039994742,0.044171810150146484,0.016060899885076002,3,400,"{'clf__max_depth': 3, 'clf__n_estimators': 400}",0.819327731092437,0.8185654008438819,0.810126582278481,0.8160065714049333,0.004169411704894204,14
0.7174301147460938,0.0601479514094689,0.052540222803751625,0.02921488176593069,3,500,"{'clf__max_depth': 3, 'clf__n_estimators': 500}",0.819327731092437,0.8185654008438819,0.8143459915611815,0.8174130411658335,0.002190948319794006,13
0.21105432510375977,0.0492787680970403,0.03071737289428711,0.004783814421847905,4,100,"{'clf__max_depth': 4, 'clf__n_estimators': 100}",0.819327731092437,0.8312236286919831,0.8185654008438819,0.823038920209434,0.005795824736261964,7
0.316283384958903,0.009589421144447064,0.047510226567586265,0.00998073107563079,4,200,"{'clf__max_depth': 4, 'clf__n_estimators': 200}",0.8151260504201681,0.8312236286919831,0.8143459915611815,0.8202318902244442,0.007778854194115017,9
0.5259933471679688,0.07554339022667578,0.047579050064086914,0.019044371891980275,4,300,"{'clf__max_depth': 4, 'clf__n_estimators': 300}",0.8151260504201681,0.8312236286919831,0.8143459915611815,0.8202318902244442,0.007778854194115017,9
0.6131819089253744,0.05933471164689646,0.04217656453450521,0.004727942460077406,4,400,"{'clf__max_depth': 4, 'clf__n_estimators': 400}",0.8151260504201681,0.8312236286919831,0.8143459915611815,0.8202318902244442,0.007778854194115017,9
0.7221585909525553,0.09779219059448617,0.028659343719482422,0.006991800555074898,4,500,"{'clf__max_depth': 4, 'clf__n_estimators': 500}",0.8235294117647058,0.8312236286919831,0.8227848101265823,0.8258459501944238,0.003814723879671851,6
0.17469342549641928,0.025659951881781745,0.02970576286315918,0.007967753727076667,5,100,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",0.8361344537815126,0.8312236286919831,0.8185654008438819,0.8286411611057926,0.00740134039241595,5
0.33160877227783203,0.03298501659224234,0.031218210856119793,0.0002354650609705726,5,200,"{'clf__max_depth': 5, 'clf__n_estimators': 200}",0.8277310924369747,0.8312236286919831,0.8270042194092827,0.8286529801794136,0.0018417856246911856,4
0.4226078192392985,0.010628192905641777,0.024529298146565754,0.0044164428420549835,5,300,"{'clf__max_depth': 5, 'clf__n_estimators': 300}",0.8235294117647058,0.8354430379746836,0.8270042194092827,0.828658889716224,0.005002470905214207,2
0.4705742994944255,0.0722112598585559,0.02115909258524577,0.0011849719882714895,5,400,"{'clf__max_depth': 5, 'clf__n_estimators': 400}",0.8235294117647058,0.8396624472573839,0.8270042194092827,0.8300653594771242,0.006932851382522248,1
0.495074987411499,0.04057928453827013,0.021440982818603516,0.0006699485993321008,5,500,"{'clf__max_depth': 5, 'clf__n_estimators': 500}",0.8235294117647058,0.8354430379746836,0.8270042194092827,0.828658889716224,0.005002470905214207,2
